,Journal title
0,Psychological Medicine
1,Biomacromolecules
2,Journal of Medicial Chemistry
3,Journal of Medicial Chemistry
4,Journal of Org Chemistry
5,Journal Of Medicinal Chemistry
6,Journal Of Proteome Research
7,Molecular Pharm
8,Chemical Biology
9,Chemical Biology
10,Journal Of Chemical Information And Modeling
11,Journal Of Medicinal Chemistry
12,Journal Of Medicinal Chemistry
13,Biochemistry
14,Journal Of Medicinal Chemistry
15,Gastroenterology
16,Journal Of Biological Chemistry
17,Journal Of Immunology
18,Journal Of Immunology
19,Chemical Biology
20,Chemical Biology
21,Chemical Biology
22,Chemical Neuroscience
23,Nano
24,American Chemical Society
25,Analytical Chemistry
26,Analytical Chemistry
27,Analytical Chemistry
28,Bioconjugate Chemistry
29,Journal Of Medicinal Chemistry
30,Journal Of Medicinal Chemistry
31,Journal Of Medicinal Chemistry
32,Journal Of Proteome Research
33,Journal Of The American Chemical Society
34,Nano
35,Chest
36,Journal Of Neurophysiology
37,Journal Of Neurophysiology
38,Journal Of Neurophysiology
39,Journal Of Neurophysiology
40,Journal Of Neurophysiology
41,Journal Of Physiology
42,The Journal Of Neurophysiology
43,American Journal Of Psychiatry
44,Americal Journal Of Psychiatry
45,Behavioral Neuroscience
46,Behavioral Neuroscience
47,Behavioral Neuroscience
48,Emotion
49,Health Psychology
50,Journal Of Abnormal Psychology
51,Journal Of Consulting And Clinical Psychology
52,Journal Of Experimental Psychology: Animal Behaviour Process
53,Journal Of Experimental Psychology: Human Perception And Performance
54,Journal Of Family Psychology
55,Psychological Assessment
56,Psychological Review
57,"Psychological Trauma: Theory Research, Practice And Policy"
58,Journal Of Experimental Psychology: Human Perception And Performance
59,American Journal Of Public Health
60,Journal Of Biological Chemistry
61,Journal Of Biological Chemistry
62,Journal of Biol Chem.
63,Journal of Biol Chem.
64,Journal Of Biological Chemistry
65,Journal Of Biological Chemistry
66,Journal Of Biological Chemistry
67,Journal Of Biological Chemistry
68,Journal Of Biological Chemistry
69,Journal Of Biological Chemistry
70,Journal Of Biological Chemistry
71,Journal Of Biological Chemistry
72,Journal Of Biological Chemistry
73,Journal Of Biological Chemistry
74,Journal Of Biological Chemistry
75,Journal Of Biological Chemistry
76,Journal Of Biological Chemistry
77,Journal Of Biological Chemistry
78,Journal Of Biological Chemistry
79,Journal Of Biological Chemistry
80,The Journal Of Biological Chemistry
81,American Journal Of Pathology
82,Antimicrobial Agents And Chemotherapy
83,Antimicrobial Agents And Chemotherapy
84,Antimicrobial Agents And Chemotherapy
85,Antimicrobial Agfents And Chemotherapy
86,Clinical And Vaccine Immunology
87,Eukaryotic Cell
88,Eukaryotic Cell
89,Infection And Immunity
90,Infection And Immunity
91,Infection And Immunity
92,Journal Of Bacteriology
93,Journal Of Virology
94,Journal Of Virology
95,Journal Of Virology
96,Mbio
97,Molecular And Cellular Biology
98,Journal Of Clinical Microbiology
99,Journal Of Virology
100,American Society For Nutrition
101,Blood
102,Blood
103,Blood Journal 2012
104,Blood
105,Blood
106,Blood
107,Blood
108,Blood
109,Blood Journal 2012
110,The American Journal Of Human Genetics
111,Jounral Of Clinical Microbiology
112,Journal Of Virology
113,Journal Of Virology
114,Speech Language And Hearing Research
115,Biological Chemistry
116,Biological Chemistry
117,Journal of Biol Chem.
118,Journal of Biol Chem.
119,Journal of Biol Chem.
120,Journal of Biol Chemistry
121,Journal Of Biological Chemistry
122,Journal Of Biological Chemistry
123,Journal Of Biological Chemistry
124,Journal Of Biological Chemistry
125,Journal Of Biological Chemistry
126,Journal Of Biological Chemistry
127,Journal Of Biological Chemistry
128,Journal Of Biological Chemistry
129,Journal Of Biological Chemistry
130,Journal Of Biological Chemistry
131,Journal Of Biological Chemistry
132,Journal Of Biological Chemistry
133,Journal Of Biological Chemistry
134,Journal Of Biological Chemistry
135,Journal Of Biological Chemistry
136,Journal Of Biological Chemistry
137,Journal Of Biological Chemistry
138,Journal Of Biological Chemistry
139,Journal Of Biological Chemistry
140,Journal Of Biological Chemistry
141,Journal Of Biological Chemistry
142,Journal Of Biological Chemistry
143,Journal Of Biological Chemistry
144,Journal Of Biological Chemistry
145,Journal Of Biological Chemistry
146,Journal Of Biological Chemistry
147,Journal Of Biological Chemistry
148,Journal Of Biological Chemistry
149,Journal Of Biological Chemistry
150,Journal Of Biological Chemistry
151,Journal Of Biological Chemistry
152,Journal Of Biological Chemistry
153,Mcp (molecular & Cellular Proteomics)
154,Molecular And Cellular Proteomics
155,The Journal Of Biological Chemistry
156,The Journal Of Biological Chemistry
157,The Journal Of Biological Chemistry
158,The Journal Of Biological Chemistry
159,The Journal Of Biological Chemistry
160,The Journal Of Biological Chemistry
161,Jnl Biological Chemistry
162,Journal Biological Chemistry
163,Journal Of Biological Chemistry
164,Journal Of Biol Chemistry
165,Infection And Immunity
166,Journal Of Virology
167,Antimicrobial Agents And Chemotherapy
168,Journal Of Vision
169,Current Topics In Medicinal Chemistry
170,Current Analytical Chemistry
171,"Evidence, Ethos And Experiment: The Anthropology And History Of Medical Research In Africa."
172,"Evidence, Ethos And Experiment: The Anthropology And History Of Medical Research In Africa."
173,Biochem Journal
174,Molecular Cell
175,Arthritis Research & Therapy
176,Biomed Central
177,Bmc Public Health
178,Bmc Biology
179,Bmc Genetics
180,Bmc Genome Biology
181,Bmc Genomics
182,Bmc Genomics
183,Bmc Genomics
184,Bmc Health Services Research
185,Bmc Medical Genetics
186,Bmc Medicine
187,Bmc Medicine
188,Bmc Microbiology
189,Bmc Molecular Biology
190,Bmc Neurology
191,Bmc Neuroscience
192,Bmc Psychiatry
193,Bmc Psychiatry
194,Bmc Public Health
195,Bmc Public Health
196,Bmc Public Health
197,Bmc Research Notes
198,Bmc Veterinary Research
199,Bms Genomics
200,Clinical Proteomics
201,Evodevo
202,Genome Biology
203,Genome Biology
204,Genome Biology
205,Genome Medicine
206,International Journal For Equity In Health
207,International Journal Of Behavioral Nutrition And Physical Activity
208,International Journal Of Behavioural Nutrition And Physical Activity
209,International Journal Of Health Geographics
